Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Status,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework,Time Allocation,Reading and Note Taking,Study Period Procedures,Examination,Teachers Consultation
Jason Davis,1,24275646,2.5,1.5,3.0,4.0,2.0,Irregular,,,,2.61,1,No,Poor,Digital,Flashcards,16.0,Yes
James Barker,3,22665823,2.25,1.5,2.0,4.0,1.75,Irregular,1.0,1.0,,1.93,1,No,Poor,Handwritten,Summarizing,19.0,No
Robert Chapman,4,21325860,2.75,2.75,2.25,5.0,2.5,Irregular,,,,3.05,1,Yes,Fair,Handwritten,Pomodoro,10.0,No
Kayla Gomez,3,22250854,1.0,3.0,2.5,1.75,1.25,Regular,2.75,1.75,,2.0,0,No,Fair,Handwritten,Summarizing,8.0,Yes
Stephanie Lopez,2,23874612,2.75,2.75,2.5,3.0,2.75,Irregular,1.25,1.5,5.0,2.68,1,Yes,Poor,Digital,Flashcards,18.0,Yes
Timothy Simpson,4,21612182,1.0,2.75,1.25,2.75,2.75,Regular,,,,2.1,0,Yes,Fair,Handwritten,Flashcards,10.0,Yes
Jordan Simmons,2,23145840,2.25,5.0,4.0,4.0,1.75,Irregular,2.75,2.25,4.0,3.29,4,Yes,Fair,Digital,Group Discussions,4.0,Yes
Mary Valdez,2,23145696,1.75,5.0,4.0,1.75,2.5,Irregular,2.5,3.0,3.0,2.99,2,Yes,Fair,Digital,Pomodoro,2.0,No
Stephanie Patel,3,22028905,3.0,2.25,2.75,2.75,1.25,Irregular,4.0,1.5,,2.5,1,Yes,Good,Digital,Summarizing,5.0,Yes
Bethany Rodriguez,2,23902355,1.0,3.0,1.75,5.0,5.0,Irregular,2.5,1.75,5.0,3.22,3,No,Fair,Digital,Flashcards,14.0,No
Justin Reyes,3,22239277,2.75,2.5,2.75,2.75,1.0,Irregular,5.0,5.0,,3.11,2,Yes,Poor,Digital,Group Discussions,20.0,Yes
William Moran,3,22336599,1.25,2.75,2.25,1.75,1.25,Irregular,5.0,5.0,,2.75,2,Yes,Poor,Handwritten,Group Discussions,15.0,No
Caroline Smith,1,24674231,2.25,1.5,2.25,2.25,2.75,Regular,,,,2.2,0,Yes,Poor,Handwritten,Summarizing,4.0,No
Richard White,4,21995638,1.25,1.0,2.25,4.0,2.0,Irregular,,,,2.1,1,No,Poor,Handwritten,Summarizing,12.0,No
Nicolas Alexander,1,24468514,5.0,3.0,2.5,1.75,2.0,Irregular,,,,2.7,1,Yes,Poor,Digital,Summarizing,8.0,No
Oscar Wood,4,21026016,4.0,4.0,1.75,3.0,4.0,Irregular,,,,3.35,3,No,Poor,Handwritten,Pomodoro,11.0,Yes
Barbara Burke,2,23840090,4.0,1.5,5.0,1.0,5.0,Irregular,1.0,3.0,1.75,2.73,3,No,Fair,Handwritten,Group Discussions,14.0,Yes
Eric Smith,2,23122124,4.0,1.5,1.5,2.25,4.0,Irregular,1.25,1.25,1.5,2.08,2,No,Poor,Handwritten,Pomodoro,3.0,Yes
Jerry Terry,1,24927803,1.5,2.25,2.0,4.0,2.5,Irregular,,,,2.52,1,Yes,Good,Digital,Flashcards,14.0,No
James Rose,2,23498355,1.25,1.25,1.25,2.75,1.5,Irregular,3.0,5.0,1.0,2.16,1,Yes,Poor,Digital,Flashcards,16.0,Yes
Jason Baker,3,22719071,1.75,2.75,2.0,2.25,1.0,Regular,2.5,2.0,,2.04,0,Yes,Fair,Digital,Pomodoro,5.0,Yes
Adam Joseph,2,23675171,1.75,3.0,1.0,2.25,3.0,Regular,1.75,1.5,2.75,2.14,0,No,Good,Handwritten,Pomodoro,9.0,No
Melissa Burke,3,22291509,2.5,5.0,5.0,3.0,1.25,Irregular,4.0,2.75,,3.36,3,No,Good,Digital,Group Discussions,19.0,No
Susan Chen,3,22659770,2.5,2.75,1.0,2.25,1.25,Irregular,3.0,5.0,,2.54,1,Yes,Good,Digital,Group Discussions,9.0,No
Michael Perez,3,22512886,2.75,2.25,2.5,1.75,2.25,Regular,1.0,1.0,,1.93,0,Yes,Fair,Handwritten,Flashcards,20.0,No
Nichole Ortiz,4,21139635,1.5,2.25,2.25,1.75,4.0,Irregular,,,,2.35,1,No,Poor,Handwritten,Group Discussions,8.0,Yes
Michelle Wang,2,23235327,2.75,1.0,1.5,5.0,2.75,Irregular,2.5,1.0,1.75,2.26,1,Yes,Poor,Handwritten,Group Discussions,13.0,No
Kaitlyn Jones,2,23096341,1.75,2.5,3.0,3.0,2.5,Irregular,2.0,3.0,5.0,2.89,1,Yes,Poor,Digital,Group Discussions,15.0,No
John Wilkins,2,23872499,2.75,2.75,1.25,1.0,2.25,Irregular,4.0,1.75,1.0,2.07,1,No,Fair,Digital,Flashcards,6.0,Yes
Dustin Richards,3,22574327,2.0,2.0,4.0,4.0,1.5,Irregular,2.0,4.0,,2.79,3,Yes,Good,Digital,Flashcards,2.0,No
Kevin Spencer,3,22603643,5.0,5.0,2.0,1.25,2.0,Irregular,1.25,3.0,,2.79,2,No,Poor,Handwritten,Summarizing,7.0,No
Julia Mejia,2,23153705,1.25,3.0,5.0,1.5,1.5,Irregular,3.0,1.0,2.25,2.36,1,No,Fair,Digital,Group Discussions,7.0,No
Julie Evans,1,24221974,1.5,4.0,2.5,1.25,2.25,Irregular,,,,2.36,1,No,Good,Handwritten,Group Discussions,17.0,Yes
Jennifer Peterson,4,21198135,3.0,1.5,2.5,5.0,1.5,Irregular,,,,2.7,1,No,Poor,Handwritten,Group Discussions,17.0,No
Cheryl Turner,1,24693520,4.0,1.25,5.0,2.0,4.0,Irregular,,,,3.2,3,Yes,Fair,Handwritten,Group Discussions,8.0,Yes
Samantha Moore,1,24970757,1.75,1.25,2.75,4.0,2.0,Irregular,,,,2.39,1,No,Good,Digital,Flashcards,16.0,No
Alyssa Martin,3,22920441,1.75,5.0,2.25,1.5,1.75,Irregular,2.75,3.0,,2.57,1,No,Fair,Digital,Group Discussions,4.0,Yes
Holly Wilcox,4,21645370,2.5,2.25,2.0,1.5,2.0,Regular,,,,2.05,0,No,Fair,Digital,Group Discussions,1.0,No
Timothy Sanchez,2,23710415,1.75,2.5,2.5,2.75,2.75,Irregular,4.0,2.5,2.5,2.7,1,No,Poor,Digital,Group Discussions,10.0,No
Richard Valencia,4,21121529,5.0,2.5,2.25,3.0,1.0,Irregular,,,,2.75,1,Yes,Fair,Handwritten,Summarizing,1.0,Yes
Michael Bennett,3,22515008,1.0,5.0,2.75,1.5,3.0,Irregular,1.75,2.0,,2.43,1,No,Poor,Handwritten,Summarizing,13.0,Yes
Justin Osborne,1,24495653,5.0,2.75,5.0,5.0,2.5,Irregular,,,,3.98,3,No,Good,Digital,Pomodoro,2.0,Yes
Donald Hayes,1,24819275,1.5,2.25,5.0,2.0,3.0,Irregular,,,,2.84,1,No,Good,Handwritten,Group Discussions,2.0,Yes
Christopher Nelson,3,22581692,1.25,4.0,1.75,1.0,1.0,Irregular,2.75,2.75,,2.07,1,No,Good,Handwritten,Summarizing,17.0,No
Christine Gardner,3,22954946,2.75,2.0,3.0,1.75,1.25,Irregular,4.0,5.0,,2.82,2,No,Poor,Handwritten,Pomodoro,8.0,No
Melissa Travis,4,21884308,1.0,4.0,1.25,3.0,1.0,Irregular,,,,2.05,1,Yes,Poor,Digital,Group Discussions,3.0,Yes
Samuel Mcmillan,1,24572866,2.0,5.0,3.0,1.75,2.5,Irregular,,,,2.91,1,Yes,Poor,Digital,Flashcards,8.0,No
Ashley Richards,1,24736999,1.5,1.5,2.75,2.0,1.0,Regular,,,,1.77,0,Yes,Fair,Digital,Pomodoro,2.0,No
Mary Perkins,2,23134486,4.0,2.5,2.0,3.0,5.0,Irregular,1.5,1.0,1.75,2.53,2,Yes,Poor,Digital,Flashcards,4.0,Yes
Jason Tate,3,22603748,2.0,2.5,1.5,2.0,1.25,Irregular,4.0,3.0,,2.32,1,Yes,Fair,Handwritten,Pomodoro,17.0,No
Jennifer Schultz,1,24410508,5.0,2.25,2.25,3.0,5.0,Irregular,,,,3.39,2,Yes,Good,Digital,Flashcards,2.0,No
Renee Wiggins,3,22320606,1.0,4.0,1.0,2.25,2.75,Irregular,1.5,2.0,,2.07,1,Yes,Poor,Handwritten,Group Discussions,20.0,Yes
Sean Martin,1,24489412,2.75,1.0,2.75,2.75,2.25,Regular,,,,2.27,0,No,Fair,Handwritten,Group Discussions,7.0,No
Frank Ruiz,4,21187157,3.0,2.25,3.0,4.0,1.75,Irregular,,,,2.8,1,No,Fair,Digital,Summarizing,13.0,Yes
Heather Gray,4,21389615,1.75,5.0,1.5,1.25,2.25,Irregular,,,,2.35,1,Yes,Fair,Digital,Group Discussions,4.0,No
Heather Wilson,4,21247874,1.75,3.0,2.5,1.25,2.0,Regular,,,,2.1,0,Yes,Fair,Digital,Pomodoro,9.0,Yes
Cory Stout,2,23879913,5.0,1.5,1.0,4.0,1.5,Irregular,2.25,4.0,1.5,2.49,3,Yes,Poor,Handwritten,Summarizing,13.0,No
Kristen Robinson,2,23959504,1.5,2.25,1.0,3.0,4.0,Irregular,2.0,2.5,1.0,2.18,1,No,Fair,Handwritten,Summarizing,6.0,Yes
Barbara Cain,1,24416940,3.0,3.0,1.5,2.0,2.25,Regular,,,,2.3,0,Yes,Fair,Handwritten,Group Discussions,3.0,No
Robert Ruiz,1,24463907,1.25,1.5,1.25,3.0,1.25,Regular,,,,1.68,0,No,Fair,Handwritten,Pomodoro,10.0,No
Mr. Mark Mccarty,2,23964443,5.0,2.75,2.5,4.0,1.0,Irregular,1.0,2.25,2.0,2.46,2,No,Poor,Digital,Pomodoro,15.0,Yes
Joseph Ayala,4,21028197,1.5,2.5,1.25,2.25,1.5,Regular,,,,1.8,0,Yes,Poor,Handwritten,Flashcards,8.0,Yes
Melvin Foster,4,21931288,1.25,3.0,1.5,2.5,3.0,Regular,,,,2.25,0,Yes,Good,Handwritten,Group Discussions,9.0,No
Elizabeth Jones,3,22027509,2.75,1.5,5.0,1.5,2.75,Irregular,5.0,5.0,,3.36,3,No,Fair,Handwritten,Flashcards,13.0,Yes
Nicole Mckee,2,23418960,3.0,2.0,2.25,1.0,4.0,Irregular,5.0,2.25,1.5,2.61,2,Yes,Poor,Digital,Group Discussions,7.0,No
Zachary Pittman,3,22109455,4.0,2.5,1.25,2.0,5.0,Irregular,4.0,2.0,,2.96,3,Yes,Poor,Handwritten,Group Discussions,6.0,No
Thomas West,1,24389430,3.0,2.5,3.0,4.0,3.0,Irregular,,,,3.11,1,No,Good,Handwritten,Pomodoro,8.0,No
Ryan Mcguire,4,21899725,2.5,1.75,4.0,3.0,1.0,Irregular,,,,2.45,1,Yes,Poor,Digital,Summarizing,8.0,No
Barbara Holden,4,21624290,1.5,3.0,1.5,3.0,2.0,Regular,,,,2.2,0,Yes,Poor,Handwritten,Group Discussions,6.0,No
Suzanne Braun,4,21799073,2.5,2.5,1.0,2.75,1.25,Regular,,,,2.0,0,Yes,Fair,Digital,Group Discussions,4.0,No
Richard Ramirez,4,21856080,1.25,1.5,2.0,4.0,1.0,Irregular,,,,1.95,1,No,Fair,Handwritten,Flashcards,18.0,Yes
Lisa Graham,2,23482128,2.0,1.5,1.5,1.5,2.5,Regular,2.5,2.75,2.75,2.13,0,Yes,Good,Digital,Group Discussions,16.0,No
Yvonne Vargas,4,21961311,2.25,3.0,3.0,1.0,5.0,Irregular,,,,2.85,1,No,Poor,Digital,Flashcards,15.0,Yes
Christopher Ford,3,22282783,3.0,1.75,1.0,2.25,5.0,Irregular,1.75,1.0,,2.25,1,Yes,Fair,Digital,Group Discussions,8.0,No
Kylie Patel,4,21099421,1.0,2.75,3.0,5.0,1.0,Irregular,,,,2.55,1,No,Fair,Digital,Pomodoro,11.0,Yes
Dr. Sabrina Wallace,3,22054144,1.0,4.0,2.25,3.0,2.75,Irregular,1.75,1.75,,2.36,1,Yes,Fair,Handwritten,Group Discussions,5.0,No
Rebecca Ho,1,24490538,1.5,1.25,1.0,1.75,4.0,Irregular,,,,1.93,1,No,Good,Digital,Pomodoro,7.0,Yes
Amanda Cooper,1,24235516,2.0,2.5,3.0,2.5,2.25,Regular,,,,2.48,0,No,Poor,Digital,Pomodoro,19.0,No
Amy Phillips,4,21775016,1.0,2.0,2.25,4.0,1.75,Irregular,,,,2.2,1,Yes,Good,Handwritten,Group Discussions,17.0,Yes
Adrian Gutierrez,3,22425155,2.25,2.0,3.0,3.0,3.0,Regular,2.25,3.0,,2.64,0,Yes,Fair,Digital,Group Discussions,9.0,Yes
Miranda Hatfield,4,21415835,2.25,1.0,2.75,5.0,2.0,Irregular,,,,2.6,1,Yes,Fair,Digital,Group Discussions,20.0,Yes
Teresa Hill,4,21198521,2.75,1.75,4.0,2.5,1.5,Irregular,,,,2.5,1,Yes,Poor,Digital,Pomodoro,12.0,Yes
Tiffany Roberts,4,21687306,1.25,5.0,1.0,4.0,2.75,Irregular,,,,2.8,2,Yes,Fair,Handwritten,Pomodoro,17.0,Yes
Shaun Collier,3,22027758,1.5,2.25,1.5,4.0,2.75,Irregular,2.0,2.25,,2.32,1,Yes,Good,Handwritten,Summarizing,12.0,Yes
Sherry West,3,22544601,4.0,2.0,2.0,4.0,1.5,Irregular,4.0,1.25,,2.68,3,No,Poor,Handwritten,Summarizing,17.0,Yes
Crystal Holt,4,21904927,1.75,1.25,1.0,1.75,3.0,Regular,,,,1.75,0,No,Poor,Digital,Group Discussions,6.0,Yes
Aaron Jones,3,22857170,2.75,2.0,3.0,3.0,4.0,Irregular,4.0,1.5,,2.89,2,No,Good,Handwritten,Summarizing,20.0,Yes
Rachel Chase,4,21422768,1.75,2.0,1.0,5.0,2.0,Irregular,,,,2.35,1,Yes,Good,Digital,Group Discussions,3.0,Yes
Holly Hendricks,4,21222232,2.0,1.5,1.0,2.25,4.0,Irregular,,,,2.15,1,Yes,Poor,Handwritten,Summarizing,17.0,Yes
Rebecca Faulkner,3,22927430,2.25,1.75,1.25,1.5,1.0,Regular,2.5,2.25,,1.79,0,Yes,Poor,Handwritten,Flashcards,20.0,Yes
James Savage,4,21379958,3.0,5.0,4.0,2.75,1.0,Irregular,,,,3.15,2,Yes,Fair,Handwritten,Flashcards,2.0,Yes
Stephanie Smith,2,23387422,2.5,1.25,5.0,2.75,1.25,Irregular,1.5,3.0,1.75,2.37,1,Yes,Poor,Digital,Pomodoro,12.0,No
Mary Reid,3,22576866,2.75,2.5,5.0,2.25,5.0,Irregular,2.25,2.5,,3.18,2,Yes,Poor,Handwritten,Summarizing,8.0,Yes
George Hendricks,4,21494488,2.75,1.75,1.5,2.5,1.75,Regular,,,,2.05,0,No,Good,Handwritten,Group Discussions,10.0,Yes
Thomas Gomez,4,21870795,5.0,4.0,1.5,1.25,1.25,Irregular,,,,2.6,2,Yes,Poor,Handwritten,Pomodoro,8.0,No
Megan White,2,23354663,1.0,1.5,2.75,3.0,2.5,Regular,1.5,1.0,1.25,1.85,0,No,Poor,Handwritten,Flashcards,16.0,No
Brenda Moore,1,24862243,1.25,1.25,2.0,2.75,1.25,Regular,,,,1.73,0,No,Fair,Digital,Flashcards,14.0,Yes
James Johnson,2,23703357,1.0,3.0,1.25,5.0,2.25,Irregular,3.0,2.0,5.0,2.89,2,No,Fair,Digital,Group Discussions,12.0,No
Michael Schwartz,2,23638745,3.0,1.25,1.5,2.25,1.25,Irregular,1.75,2.0,5.0,2.22,1,Yes,Fair,Digital,Pomodoro,15.0,No
Allison Castillo,2,23114180,2.5,1.75,1.5,2.75,2.25,Regular,1.5,2.25,2.75,2.14,0,No,Poor,Handwritten,Group Discussions,11.0,Yes
Cindy Wright,4,21286160,1.75,4.0,1.5,5.0,2.5,Irregular,,,,2.95,2,No,Fair,Digital,Summarizing,7.0,Yes
Andrew Massey,2,23815848,5.0,1.5,2.0,1.5,1.5,Irregular,2.75,1.25,1.5,2.0,1,No,Good,Handwritten,Pomodoro,13.0,Yes
Cynthia Kim,4,21349714,1.0,5.0,2.25,2.0,2.5,Irregular,,,,2.55,1,No,Poor,Digital,Flashcards,20.0,No
Sean Galloway,3,22156140,2.0,1.5,1.5,2.25,2.0,Regular,2.75,1.0,,1.86,0,No,Fair,Digital,Pomodoro,20.0,No
Cheryl Hall,1,24348820,1.0,2.5,3.0,5.0,2.5,Irregular,,,,2.93,1,Yes,Fair,Digital,Flashcards,6.0,Yes
Stephanie Martin,3,22712411,4.0,2.75,1.5,1.25,2.25,Irregular,4.0,1.5,,2.46,2,Yes,Fair,Digital,Summarizing,4.0,Yes
Julia Perez,2,23323603,2.5,2.0,2.0,2.25,3.0,Irregular,2.0,1.5,4.0,2.4,1,No,Fair,Handwritten,Pomodoro,4.0,No
Debbie Sweeney,1,24310336,2.5,1.25,2.5,4.0,1.5,Irregular,,,,2.34,1,Yes,Good,Digital,Summarizing,10.0,No
Erin Hess,4,21066799,2.0,3.0,2.0,1.5,2.75,Regular,,,,2.25,0,Yes,Fair,Digital,Summarizing,10.0,Yes
Ronald Walker,1,24848942,1.0,2.25,4.0,4.0,5.0,Irregular,,,,3.41,3,Yes,Poor,Digital,Summarizing,8.0,No
Shaun Russell,1,24909423,2.5,2.0,1.25,4.0,1.0,Irregular,,,,2.12,1,No,Poor,Handwritten,Pomodoro,12.0,Yes
Michelle Hart,4,21233724,1.75,1.75,4.0,1.0,1.25,Irregular,,,,1.95,1,No,Fair,Digital,Group Discussions,3.0,Yes
Emma Hughes,2,23170442,1.25,4.0,1.25,1.5,2.5,Irregular,2.75,1.0,1.0,1.93,1,Yes,Good,Handwritten,Pomodoro,20.0,No
Colleen Taylor,4,21343258,5.0,2.0,5.0,4.0,4.0,Irregular,,,,4.0,4,Yes,Good,Handwritten,Summarizing,8.0,No
Danielle Martin,2,23983509,1.75,2.75,3.0,4.0,2.25,Irregular,2.5,2.25,5.0,2.99,2,Yes,Good,Digital,Summarizing,12.0,No
Catherine Wright,3,22427807,2.0,2.0,1.5,1.0,3.0,Irregular,1.0,5.0,,2.21,1,Yes,Good,Digital,Group Discussions,8.0,No
Joseph Cervantes,2,23694591,2.5,2.0,1.0,4.0,2.25,Irregular,2.75,1.25,1.25,2.11,1,Yes,Good,Handwritten,Pomodoro,7.0,No
Chloe Ellis,3,22205945,3.0,1.0,1.75,2.75,2.75,Regular,2.75,2.25,,2.32,0,No,Fair,Handwritten,Pomodoro,14.0,Yes
Gary Newton,1,24141305,4.0,1.75,1.75,5.0,5.0,Irregular,,,,3.46,3,Yes,Poor,Digital,Pomodoro,19.0,No
Karen Lane,4,21171743,2.75,3.0,5.0,2.25,3.0,Irregular,,,,3.2,1,Yes,Good,Digital,Summarizing,5.0,No
Carly Huynh,3,22365948,1.5,1.5,3.0,1.0,5.0,Irregular,2.5,1.75,,2.32,1,No,Poor,Digital,Flashcards,11.0,No
Michael Jackson,3,22254142,1.5,5.0,5.0,1.5,3.0,Irregular,4.0,4.0,,3.43,4,Yes,Poor,Handwritten,Flashcards,10.0,Yes
Elizabeth Bailey,1,24492635,2.25,1.5,2.5,5.0,1.75,Irregular,,,,2.62,1,No,Fair,Digital,Group Discussions,4.0,No
William Cisneros,3,22182284,1.75,1.75,5.0,3.0,1.5,Irregular,2.0,5.0,,2.86,2,No,Fair,Handwritten,Summarizing,6.0,No
Jordan Russell,3,22739594,2.75,2.0,5.0,2.75,2.25,Irregular,2.75,2.25,,2.82,1,No,Good,Handwritten,Summarizing,20.0,Yes
Walter Lindsey,3,22900079,2.0,1.5,1.25,1.75,2.75,Regular,2.25,2.75,,2.04,0,Yes,Fair,Digital,Summarizing,12.0,Yes
Kevin Smith,2,23496998,3.0,1.5,1.0,2.5,5.0,Irregular,5.0,2.5,1.25,2.71,2,No,Poor,Digital,Flashcards,6.0,No
David Martin,3,22478275,2.75,1.5,2.0,2.5,1.0,Regular,2.75,1.5,,2.0,0,No,Poor,Handwritten,Pomodoro,12.0,No
William Mcgee,1,24601986,1.0,1.0,1.5,2.25,1.75,Regular,,,,1.54,0,No,Good,Digital,Pomodoro,6.0,No
Brooke Hughes,3,22900633,1.75,1.0,2.5,1.5,4.0,Irregular,3.0,2.25,,2.29,1,No,Fair,Digital,Group Discussions,2.0,Yes
Johnathan Gray,4,21201272,5.0,2.0,5.0,4.0,2.5,Irregular,,,,3.7,3,Yes,Poor,Digital,Flashcards,7.0,Yes
Kevin Davis,1,24950169,5.0,1.0,5.0,3.0,1.0,Irregular,,,,2.86,2,Yes,Fair,Handwritten,Pomodoro,7.0,No
Joseph Brooks,4,21828329,2.25,1.0,1.5,1.0,1.75,Regular,,,,1.5,0,No,Good,Handwritten,Summarizing,7.0,No
Justin Meadows,3,22007850,2.0,5.0,3.0,1.75,1.25,Irregular,3.0,2.0,,2.57,1,No,Fair,Handwritten,Flashcards,8.0,Yes
Michelle Adkins,3,22941405,2.0,1.75,1.0,2.75,1.75,Irregular,2.0,5.0,,2.32,1,Yes,Good,Digital,Flashcards,3.0,Yes
Richard Armstrong,1,24859215,4.0,1.5,1.0,2.5,1.5,Irregular,,,,1.96,1,No,Poor,Handwritten,Flashcards,4.0,Yes
Nicole Caldwell,1,24912159,1.25,5.0,1.0,1.5,1.25,Irregular,,,,2.05,1,No,Poor,Digital,Summarizing,9.0,Yes
Christine Adams,3,22227613,2.25,2.0,1.75,2.75,1.75,Regular,2.75,3.0,,2.32,0,Yes,Good,Digital,Summarizing,12.0,Yes
Laura Chapman,4,21717512,4.0,4.0,2.25,3.0,2.5,Irregular,,,,3.15,2,Yes,Good,Handwritten,Flashcards,12.0,Yes
Bill Young,2,23489155,1.0,2.0,4.0,1.0,1.5,Irregular,5.0,2.0,2.25,2.4,2,No,Good,Handwritten,Flashcards,1.0,Yes
Lori Barber,2,23883701,1.25,1.0,1.5,2.25,1.0,Irregular,2.75,3.0,5.0,2.26,1,No,Fair,Digital,Group Discussions,10.0,No
Emily Miller,3,22848724,2.5,1.5,3.0,2.5,2.0,Regular,1.0,2.0,,2.07,0,No,Poor,Handwritten,Summarizing,9.0,Yes
Lisa Powell,4,21425825,5.0,4.0,1.25,1.75,3.0,Irregular,,,,3.0,2,No,Poor,Handwritten,Pomodoro,14.0,No
Zachary Hunter,4,21911398,1.25,5.0,1.75,4.0,1.75,Irregular,,,,2.75,2,No,Fair,Digital,Flashcards,18.0,No
Angel Allen,3,22754235,2.5,2.25,4.0,1.0,3.0,Irregular,1.75,1.75,,2.32,1,No,Poor,Handwritten,Flashcards,9.0,No
Christopher Walsh,3,22384133,2.5,4.0,2.5,2.75,5.0,Irregular,2.25,1.0,,2.86,2,Yes,Good,Handwritten,Group Discussions,19.0,Yes
Nancy Beard,4,21564027,2.5,1.5,4.0,1.75,2.0,Irregular,,,,2.35,1,No,Good,Digital,Flashcards,5.0,No
Brandon Morgan,1,24087091,2.75,1.75,1.25,2.25,5.0,Irregular,,,,2.59,1,Yes,Fair,Handwritten,Pomodoro,20.0,Yes
Anthony Guerrero,1,24119566,1.75,2.75,2.25,2.75,2.0,Regular,,,,2.34,0,Yes,Good,Handwritten,Pomodoro,19.0,No
Tara Knight,1,24235738,1.0,1.0,1.25,3.0,3.0,Regular,,,,1.91,0,No,Poor,Handwritten,Pomodoro,15.0,Yes
Angela Kennedy,3,22482663,4.0,1.25,5.0,3.0,1.25,Irregular,2.5,2.75,,2.82,2,Yes,Poor,Handwritten,Flashcards,18.0,Yes
Andrea Fisher,3,22399631,4.0,2.75,2.25,1.0,1.25,Irregular,1.5,5.0,,2.54,2,Yes,Good,Handwritten,Flashcards,3.0,Yes
Crystal Jackson,3,22067439,4.0,5.0,1.5,1.25,2.5,Irregular,4.0,1.5,,2.82,3,Yes,Fair,Handwritten,Flashcards,9.0,No
Matthew Powell,3,22314164,3.0,1.5,1.25,4.0,2.5,Irregular,2.0,2.5,,2.39,1,No,Fair,Handwritten,Pomodoro,12.0,Yes
Janice Mata,2,23291622,1.0,2.5,2.0,5.0,2.0,Irregular,2.5,1.5,2.5,2.43,1,Yes,Fair,Handwritten,Group Discussions,17.0,Yes
Amanda Green,2,23840270,3.0,2.75,2.75,1.75,1.0,Regular,1.75,1.25,2.25,2.02,0,No,Good,Handwritten,Flashcards,16.0,No
Robyn Davenport DDS,4,21224811,1.75,4.0,1.75,5.0,4.0,Irregular,,,,3.3,3,No,Fair,Handwritten,Summarizing,20.0,Yes
Sheila Chung,3,22756113,1.75,5.0,1.25,4.0,1.75,Irregular,2.0,2.25,,2.57,2,No,Poor,Digital,Summarizing,7.0,Yes
Sarah Smith,3,22578384,2.25,2.5,3.0,1.75,2.0,Irregular,2.5,4.0,,2.57,1,No,Good,Handwritten,Pomodoro,2.0,Yes
Jessica Bell,4,21237006,3.0,1.5,1.5,1.0,2.5,Regular,,,,1.9,0,Yes,Fair,Digital,Flashcards,20.0,Yes
Mrs. Cassandra Martinez,4,21666129,1.5,1.75,2.0,1.75,1.25,Regular,,,,1.65,0,No,Good,Handwritten,Group Discussions,20.0,Yes
Christopher Brown,2,23871712,1.75,1.75,1.5,2.5,3.0,Irregular,5.0,2.5,1.75,2.5,1,Yes,Poor,Handwritten,Pomodoro,8.0,Yes
Paula Mitchell,2,23617860,3.0,2.5,1.75,2.0,3.0,Regular,1.5,1.5,3.0,2.25,0,No,Fair,Handwritten,Summarizing,17.0,Yes
Stephanie Smith,4,21748950,2.75,1.0,5.0,1.75,2.75,Irregular,,,,2.65,1,Yes,Good,Handwritten,Pomodoro,2.0,Yes
Karl Nguyen,3,22540248,1.5,1.25,1.75,4.0,4.0,Irregular,1.75,1.5,,2.25,2,Yes,Fair,Digital,Flashcards,20.0,Yes
Joseph Garcia MD,3,22386423,2.25,1.0,2.75,2.25,1.75,Regular,1.25,2.25,,1.93,0,Yes,Fair,Digital,Summarizing,18.0,Yes
Kelly Perry,4,21602617,2.25,2.25,1.25,2.25,3.0,Regular,,,,2.2,0,No,Poor,Handwritten,Group Discussions,18.0,Yes
Connor Miller,4,21875908,1.0,4.0,5.0,1.0,4.0,Irregular,,,,3.0,3,No,Fair,Digital,Pomodoro,6.0,No
Karen Cooper,2,23086998,2.25,1.5,2.75,3.0,2.0,Regular,2.25,1.5,2.0,2.15,0,No,Poor,Handwritten,Summarizing,7.0,No
Kenneth Duffy,1,24378304,2.25,2.75,1.25,5.0,5.0,Irregular,,,,3.32,2,No,Fair,Handwritten,Pomodoro,2.0,Yes
Angela Barnett,2,23759940,5.0,1.75,2.5,2.5,1.75,Irregular,1.75,2.0,3.0,2.42,1,No,Fair,Handwritten,Flashcards,19.0,No
Vincent Hunter,3,22451796,2.75,2.5,2.25,2.5,2.25,Regular,1.25,1.75,,2.18,0,,,,,,
Mitchell Watson,3,22313394,2.5,1.75,1.5,1.5,2.5,Irregular,4.0,3.0,,2.39,1,,,,,,
Micheal Brown,4,21592854,4.0,2.5,3.0,2.0,2.75,Irregular,,,,2.85,1,,,,,,
Angela Campbell,1,24610684,1.75,1.5,5.0,2.75,1.5,Irregular,,,,2.55,1,,,,,,
James Johnson,4,21001319,5.0,2.0,2.5,4.0,2.25,Irregular,,,,3.15,2,,,,,,
Michelle Rodriguez,2,23446356,1.5,1.25,1.5,3.0,5.0,Irregular,1.5,1.75,2.5,2.28,1,,,,,,
Ms. Lindsay Aguilar,3,22798450,2.0,1.75,2.0,1.5,5.0,Irregular,3.0,1.5,,2.39,1,,,,,,
Sarah Moore,1,24552410,2.75,2.75,3.0,1.5,4.0,Irregular,,,,2.8,1,,,,,,
Mr. Michael Peterson,4,21721781,1.5,1.5,1.5,2.0,4.0,Irregular,,,,2.1,1,,,,,,
Christine Rosales,3,22726625,4.0,5.0,2.5,2.25,5.0,Irregular,1.25,1.75,,3.11,3,,,,,,
Anthony Shaffer,4,21926583,2.0,1.5,2.75,3.0,1.0,Regular,,,,2.05,0,,,,,,
